Киев рокоссовского 3;30.457828;50.52134;проспект Маршала Рокоссовського, 3, Київ, місто Київ, Україна
Киев кондратюка1;30.454618;50.526847;вулиця Юрія Кондратюка, 1, Київ, місто Київ, Україна
Киев богатирська 5;30.481377;50.515519;Богатирська вулиця, 5, Київ, місто Київ, Україна
Киев кондратюка 4 в;30.457933;50.525064;вулиця Юрія Кондратюка, 4В, Київ, місто Київ, Україна
Киев нижний вал 43;30.516192;50.469466;вулиця Нижній Вал, 43, Київ, місто Київ, Україна
Киев кондратюка 4 а;30.45707;50.525264;вулиця Юрія Кондратюка, 4А, Київ, місто Київ, Україна
Киев марини цвєтаєвої 8;30.624025;50.523391;вулиця Марини Цвєтаєвої, 8, Київ, місто Київ, Україна
Киев кондратюка 4;30.458534;50.525372;вулиця Юрія Кондратюка, 4, Київ, місто Київ, Україна
Киев московський проспект 12;30.50767299999999;50.4878;Московський проспект, 12, Київ, місто Київ, Україна
Киев кондратюка 2;30.455434;50.526089;вулиця Юрія Кондратюка, 2, Київ, місто Київ, Україна
Киев рокосовського 6;30.459449;50.521976;проспект Маршала Рокоссовського, 6, Київ, місто Київ, Україна
Киев хмельницького 15;30.514304;50.445516;вулиця Богдана Хмельницького, 15, Київ, місто Київ, Україна
Киев полярная 6;30.45999699999999;50.518249;Полярна вулиця, 6, Київ, місто Київ, Україна
Киев автозаводська 78;30.45683;50.518776;Автозаводська вулиця, 78, Київ, місто Київ, Україна
Киев тимошенка 18;30.505275;50.510953;вулиця Маршала Тимошенка, 18, Київ, місто Київ, Україна
Киев пушкінська 2;30.518813;50.447549;Пушкінська вулиця, 2-4/7, Київ, місто Київ, Україна
Киев зої гайдай 12;30.490536;50.517464;вулиця Зої Гайдай, 12/10, Київ, місто Київ, Україна
Киев 12 полярна;30.476274;50.516876;Полярна вулиця, 12, Київ, місто Київ, Україна
Киев майорова7;30.4638004;50.5218754;вулиця Михайла Майорова, 7, Київ, місто Київ, Україна, 02000
Киев героїв сталінграда 65;30.515789;50.52668;проспект Героїв Сталінграду, 65, Київ, місто Київ, Україна
Киев героїв сталінграда 54а;30.517965;50.524041;проспект Героїв Сталінграду, 54А, Київ, місто Київ, Україна
Киев проспект правди пицерия;30.4233952;50.504364;проспект Правди, Київ, місто Київ, Україна
Киев приречная19в;30.519476;50.52034500000001;Прирічна вулиця, 19В, Київ, місто Київ, Україна
Киев лугова12;30.472337;50.505244;Лугова вулиця, 12, Київ, місто Київ, Україна
Киев лугова 12;30.472337;50.505244;Лугова вулиця, 12, Київ, місто Київ, Україна
Киев проспек василя порика 2;30.4219685;50.511587;проспект Василя Порика, 2, Київ, місто Київ, Україна
Киев пропект свободи 32б;30.426717;50.51505900000001;проспект Свободи, 32, Київ, місто Київ, Україна
Киев свободи32в;30.426717;50.51505900000001;проспект Свободи, 32, Київ, місто Київ, Україна
Киев свободи17;30.422316;50.513452;проспект Свободи, 17, Київ, місто Київ, Україна
Киев свободы1а;30.434733;50.50608;проспект Свободи, 1А, Київ, місто Київ, Україна
Киев межова 23;30.433844;50.509839;Межова вулиця, 23, Київ, місто Київ, Україна
Киев свободи 32б;30.426717;50.51505900000001;проспект Свободи, 32, Київ, місто Київ, Україна
Киев свободы4а;30.435278;50.507326;проспект Свободи, 4А, Київ, місто Київ, Україна
Киев героев сташинграда 28;30.50921;50.513848;проспект Героїв Сталінграду, 28, Київ, місто Київ, Україна
Киев доброхотова4;30.369094;50.462902;вулиця Академіка Доброхотова, 4, Київ, місто Київ, Україна
Киев В.ВАЛ.16;30.51134;50.464322;вулиця Верхній Вал, 16, Київ, місто Київ, Україна
Киев БОРЩАГІВСЬКА;30.457647;50.445972;Борщагівська вулиця, Київ, місто Київ, Україна
Киев ЯРОСДАВСКТ ПЕРЕУЛ;30.5085179;50.466423;Ярославський провулок, Київ, місто Київ, Україна
Киев ПЕСТЕЛЯ;30.488863;50.444274;вулиця Павла Пестеля, Київ, місто Київ, Україна
Киев СВОБОДИ 2;30.438234;50.506254;проспект Свободи, 2, Київ, місто Київ, Україна
Киев ФРУНЗЕ 116;30.478968;50.48184999999999;вулиця Фрунзе, 116, Київ, місто Київ, Україна
Киев ПРАВДИ 6;30.444531;50.505922;проспект Правди, 6, Київ, місто Київ, Україна
Киев МЕЖЕВАЯ 14;30.433432;50.51553500000001;Межовий провулок, 14, Київ, місто Київ, Україна
Киев МОСТИЦКАЯ 12;30.448952;50.501624;Мостицька вулиця, 12, Київ, місто Київ, Україна
Киев ОЛЬЄИЧА 10;30.448366;50.478616;вулиця Ольжича, 10, Київ, місто Київ, Україна
Киев СВОБОДИ 32;30.426717;50.51505900000001;проспект Свободи, 32, Київ, місто Київ, Україна
